hh:mm:ss.ms,gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],magX[mG],magY[mG],magZ[mG]
19:36:18.737000,2900.0,2359.0,788.0,-676.0,444.0,1130.0,0.0,0.0,0.0
19:36:18.742000,2790.0,2356.0,728.0,-671.0,302.0,1063.0,0.0,0.0,0.0
19:36:18.747000,2681.0,2343.0,675.0,-671.0,302.0,1063.0,0.0,0.0,0.0
19:36:18.751000,2611.0,2338.0,650.0,-641.0,148.0,998.0,0.0,0.0,0.0
19:36:18.756000,2564.0,2329.0,630.0,-641.0,148.0,998.0,0.0,0.0,0.0
19:36:18.761000,2562.0,2304.0,599.0,-641.0,148.0,998.0,0.0,0.0,0.0
19:36:18.766000,2592.0,2265.0,545.0,-580.0,-47.0,903.0,0.0,0.0,0.0
19:36:18.770000,2611.0,2202.0,528.0,-580.0,-47.0,903.0,0.0,0.0,0.0
19:36:18.775000,2626.0,2143.0,564.0,-551.0,-203.0,854.0,0.0,0.0,0.0
19:36:18.780000,2634.0,2079.0,592.0,-551.0,-203.0,854.0,0.0,0.0,0.0
19:36:18.784000,2636.0,2018.0,604.0,-504.0,-253.0,870.0,0.0,0.0,0.0
19:36:18.789000,2595.0,1957.0,625.0,-504.0,-253.0,870.0,0.0,0.0,0.0
19:36:18.794000,2530.0,1899.0,647.0,-448.0,-180.0,890.0,0.0,0.0,0.0
19:36:18.798000,2441.0,1849.0,637.0,-448.0,-180.0,890.0,0.0,0.0,0.0
19:36:18.803000,2441.0,1849.0,637.0,-458.0,-6.0,892.0,0.0,0.0,0.0
19:36:18.808000,2342.0,1796.0,602.0,-458.0,-6.0,892.0,0.0,0.0,0.0
19:36:18.813000,2228.0,1747.0,557.0,-535.0,159.0,868.0,0.0,0.0,0.0
19:36:18.817000,2111.0,1715.0,526.0,-535.0,159.0,868.0,0.0,0.0,0.0
19:36:18.822000,1996.0,1680.0,499.0,-626.0,194.0,816.0,0.0,0.0,0.0
19:36:18.827000,1899.0,1641.0,484.0,-626.0,194.0,816.0,0.0,0.0,0.0
19:36:18.831000,1820.0,1605.0,466.0,-685.0,100.0,741.0,0.0,0.0,0.0
19:36:18.836000,1754.0,1571.0,438.0,-685.0,100.0,741.0,0.0,0.0,0.0
19:36:18.841000,1689.0,1544.0,413.0,-712.0,8.0,658.0,0.0,0.0,0.0
19:36:18.845000,1619.0,1519.0,387.0,-712.0,8.0,658.0,0.0,0.0,0.0
19:36:18.850000,1549.0,1491.0,365.0,-729.0,-24.0,581.0,0.0,0.0,0.0
19:36:18.855000,1488.0,1458.0,326.0,-729.0,-24.0,581.0,0.0,0.0,0.0
19:36:18.860000,1443.0,1418.0,301.0,-716.0,-95.0,499.0,0.0,0.0,0.0
19:36:18.864000,1393.0,1379.0,322.0,-716.0,-95.0,499.0,0.0,0.0,0.0
19:36:18.868000,1330.0,1341.0,362.0,-701.0,-193.0,424.0,0.0,0.0,0.0
19:36:18.874000,1264.0,1295.0,373.0,-701.0,-193.0,424.0,0.0,0.0,0.0
19:36:18.878000,1199.0,1248.0,350.0,-701.0,-193.0,424.0,0.0,0.0,0.0
19:36:18.883000,1130.0,1196.0,347.0,-715.0,-181.0,374.0,0.0,0.0,0.0
19:36:18.888000,1050.0,1144.0,358.0,-715.0,-181.0,374.0,0.0,0.0,0.0
19:36:18.892000,970.0,1096.0,355.0,-699.0,-145.0,338.0,0.0,0.0,0.0
19:36:18.897000,900.0,1045.0,329.0,-699.0,-145.0,338.0,0.0,0.0,0.0
19:36:18.902000,836.0,998.0,284.0,-677.0,-166.0,303.0,0.0,0.0,0.0
19:36:18.907000,770.0,948.0,268.0,-677.0,-166.0,303.0,0.0,0.0,0.0
19:36:18.911000,770.0,948.0,268.0,-682.0,-204.0,270.0,0.0,0.0,0.0
19:36:18.916000,711.0,899.0,268.0,-682.0,-204.0,270.0,0.0,0.0,0.0
19:36:18.921000,671.0,853.0,266.0,-717.0,-252.0,237.0,0.0,0.0,0.0
19:36:18.925000,638.0,816.0,235.0,-717.0,-252.0,237.0,0.0,0.0,0.0
19:36:18.930000,604.0,784.0,191.0,-771.0,-334.0,195.0,0.0,0.0,0.0
19:36:18.935000,566.0,771.0,186.0,-771.0,-334.0,195.0,0.0,0.0,0.0
19:36:18.939000,539.0,734.0,185.0,-795.0,-400.0,168.0,0.0,0.0,0.0
19:36:18.944000,527.0,701.0,174.0,-795.0,-400.0,168.0,0.0,0.0,0.0
19:36:18.949000,521.0,669.0,159.0,-818.0,-416.0,140.0,0.0,0.0,0.0
19:36:18.954000,510.0,651.0,130.0,-818.0,-416.0,140.0,0.0,0.0,0.0
19:36:18.958000,494.0,626.0,78.0,-847.0,-409.0,104.0,0.0,0.0,0.0
19:36:18.963000,469.0,598.0,25.0,-847.0,-409.0,104.0,0.0,0.0,0.0
19:36:18.968000,417.0,574.0,-25.0,-858.0,-376.0,80.0,0.0,0.0,0.0
19:36:18.972000,362.0,549.0,-73.0,-858.0,-376.0,80.0,0.0,0.0,0.0
19:36:18.977000,319.0,518.0,-93.0,-858.0,-376.0,80.0,0.0,0.0,0.0
19:36:18.982000,287.0,498.0,-117.0,-848.0,-378.0,51.0,0.0,0.0,0.0
19:36:18.986000,263.0,478.0,-170.0,-832.0,-443.0,11.0,0.0,0.0,0.0
19:36:18.991000,268.0,461.0,-211.0,-832.0,-443.0,11.0,0.0,0.0,0.0
19:36:18.996000,274.0,445.0,-224.0,-832.0,-443.0,11.0,0.0,0.0,0.0
19:36:19.001000,292.0,424.0,-219.0,-823.0,-546.0,-35.0,0.0,0.0,0.0
19:36:19.005000,317.0,403.0,-207.0,-823.0,-546.0,-35.0,0.0,0.0,0.0
19:36:19.010000,343.0,373.0,-203.0,-823.0,-625.0,-73.0,0.0,0.0,0.0
19:36:19.015000,371.0,345.0,-216.0,-823.0,-625.0,-73.0,0.0,0.0,0.0
19:36:19.019000,371.0,345.0,-216.0,-824.0,-642.0,-93.0,0.0,0.0,0.0
19:36:19.024000,401.0,315.0,-240.0,-824.0,-642.0,-93.0,0.0,0.0,0.0
19:36:19.029000,426.0,284.0,-250.0,-802.0,-614.0,-104.0,0.0,0.0,0.0
19:36:19.033000,443.0,248.0,-261.0,-802.0,-614.0,-104.0,0.0,0.0,0.0
19:36:19.038000,450.0,205.0,-273.0,-783.0,-565.0,-99.0,0.0,0.0,0.0
19:36:19.043000,448.0,157.0,-257.0,-783.0,-565.0,-99.0,0.0,0.0,0.0
19:36:19.048000,445.0,112.0,-239.0,-773.0,-557.0,-81.0,0.0,0.0,0.0
19:36:19.052000,464.0,74.0,-247.0,-773.0,-557.0,-81.0,0.0,0.0,0.0
19:36:19.057000,490.0,37.0,-267.0,-758.0,-560.0,-72.0,0.0,0.0,0.0
19:36:19.062000,508.0,-3.0,-254.0,-758.0,-560.0,-72.0,0.0,0.0,0.0
19:36:19.066000,508.0,-25.0,-209.0,-770.0,-571.0,-60.0,0.0,0.0,0.0
19:36:19.071000,518.0,-47.0,-178.0,-770.0,-571.0,-60.0,0.0,0.0,0.0
19:36:19.076000,539.0,-60.0,-171.0,-835.0,-616.0,-42.0,0.0,0.0,0.0
19:36:19.080000,546.0,-63.0,-171.0,-835.0,-616.0,-42.0,0.0,0.0,0.0
19:36:19.085000,560.0,-74.0,-166.0,-835.0,-616.0,-42.0,0.0,0.0,0.0
19:36:19.090000,574.0,-72.0,-165.0,-900.0,-629.0,-30.0,0.0,0.0,0.0
19:36:19.095000,575.0,-70.0,-176.0,-900.0,-629.0,-30.0,0.0,0.0,0.0
19:36:19.099000,564.0,-74.0,-193.0,-920.0,-580.0,-18.0,0.0,0.0,0.0
19:36:19.104000,553.0,-77.0,-218.0,-920.0,-580.0,-18.0,0.0,0.0,0.0
19:36:19.109000,539.0,-84.0,-245.0,-921.0,-512.0,-22.0,0.0,0.0,0.0
19:36:19.113000,505.0,-90.0,-291.0,-921.0,-512.0,-22.0,0.0,0.0,0.0
19:36:19.118000,463.0,-111.0,-354.0,-917.0,-449.0,-25.0,0.0,0.0,0.0
19:36:19.123000,446.0,-130.0,-382.0,-917.0,-449.0,-25.0,0.0,0.0,0.0
19:36:19.127000,420.0,-152.0,-384.0,-876.0,-419.0,-18.0,0.0,0.0,0.0
19:36:19.132000,420.0,-152.0,-384.0,-876.0,-419.0,-18.0,0.0,0.0,0.0
19:36:19.137000,392.0,-169.0,-381.0,-812.0,-451.0,-22.0,0.0,0.0,0.0
19:36:19.141000,410.0,-192.0,-401.0,-812.0,-451.0,-22.0,0.0,0.0,0.0
19:36:19.146000,408.0,-221.0,-425.0,-774.0,-450.0,-32.0,0.0,0.0,0.0
19:36:19.151000,404.0,-244.0,-417.0,-774.0,-450.0,-32.0,0.0,0.0,0.0
19:36:19.156000,401.0,-272.0,-389.0,-769.0,-445.0,-35.0,0.0,0.0,0.0
19:36:19.160000,404.0,-296.0,-352.0,-769.0,-445.0,-35.0,0.0,0.0,0.0
19:36:19.165000,412.0,-322.0,-324.0,-807.0,-448.0,-32.0,0.0,0.0,0.0
19:36:19.170000,409.0,-343.0,-310.0,-807.0,-448.0,-32.0,0.0,0.0,0.0
19:36:19.174000,392.0,-352.0,-311.0,-883.0,-382.0,-33.0,0.0,0.0,0.0
19:36:19.178000,361.0,-361.0,-315.0,-883.0,-382.0,-33.0,0.0,0.0,0.0
19:36:19.184000,342.0,-361.0,-324.0,-948.0,-292.0,-34.0,0.0,0.0,0.0
19:36:19.188000,307.0,-357.0,-342.0,-948.0,-292.0,-34.0,0.0,0.0,0.0
19:36:19.193000,261.0,-343.0,-352.0,-948.0,-292.0,-34.0,0.0,0.0,0.0
19:36:19.198000,217.0,-326.0,-359.0,-995.0,-216.0,-34.0,0.0,0.0,0.0
19:36:19.203000,171.0,-306.0,-371.0,-995.0,-216.0,-34.0,0.0,0.0,0.0
19:36:19.207000,127.0,-287.0,-372.0,-1055.0,-148.0,-25.0,0.0,0.0,0.0
19:36:19.212000,83.0,-266.0,-348.0,-1055.0,-148.0,-25.0,0.0,0.0,0.0
19:36:19.217000,38.0,-242.0,-302.0,-1114.0,-127.0,-11.0,0.0,0.0,0.0
19:36:19.221000,-3.0,-220.0,-244.0,-1114.0,-127.0,-11.0,0.0,0.0,0.0
19:36:19.226000,-31.0,-203.0,-198.0,-1164.0,-175.0,-6.0,0.0,0.0,0.0
19:36:19.231000,-51.0,-189.0,-161.0,-1164.0,-175.0,-6.0,0.0,0.0,0.0
19:36:19.235000,-73.0,-177.0,-149.0,-1211.0,-228.0,-14.0,0.0,0.0,0.0
19:36:19.240000,-73.0,-177.0,-149.0,-1211.0,-228.0,-14.0,0.0,0.0,0.0
19:36:19.245000,-88.0,-167.0,-164.0,-1212.0,-257.0,-26.0,0.0,0.0,0.0
19:36:19.250000,-98.0,-160.0,-176.0,-1212.0,-257.0,-26.0,0.0,0.0,0.0
19:36:19.254000,-102.0,-163.0,-154.0,-1152.0,-288.0,-38.0,0.0,0.0,0.0
19:36:19.259000,-115.0,-167.0,-137.0,-1152.0,-288.0,-38.0,0.0,0.0,0.0
