hh:mm:ss.ms,gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],magX[mG],magY[mG],magZ[mG]
19:30:47.677000,-175.0,-116.0,142.0,-1161.0,173.0,-143.0,613.0,-252.0,423.0
19:30:47.681000,-186.0,-96.0,88.0,-1192.0,149.0,-127.0,613.0,-252.0,423.0
19:30:47.686000,-189.0,-74.0,15.0,-1173.0,124.0,-122.0,600.0,-264.0,420.0
19:30:47.691000,-154.0,-67.0,-84.0,-1117.0,93.0,-131.0,600.0,-264.0,420.0
19:30:47.695000,-128.0,-45.0,-140.0,-1111.0,60.0,-141.0,612.0,-259.0,418.0
19:30:47.700000,-100.0,-28.0,-91.0,-1165.0,91.0,-162.0,612.0,-259.0,418.0
19:30:47.704000,-75.0,-9.0,-53.0,-1229.0,155.0,-193.0,612.0,-259.0,418.0
19:30:47.710000,-65.0,21.0,-95.0,-1262.0,184.0,-221.0,595.0,-262.0,409.0
19:30:47.714000,-37.0,44.0,-132.0,-1255.0,193.0,-245.0,595.0,-262.0,409.0
19:30:47.719000,-11.0,65.0,-116.0,-1233.0,211.0,-259.0,600.0,-256.0,420.0
19:30:47.724000,-9.0,91.0,-67.0,-1216.0,246.0,-267.0,600.0,-256.0,420.0
19:30:47.728000,-13.0,112.0,-14.0,-1199.0,273.0,-281.0,600.0,-256.0,420.0
19:30:47.733000,-11.0,126.0,27.0,-1184.0,263.0,-298.0,604.0,-262.0,418.0
19:30:47.738000,-2.0,136.0,30.0,-1173.0,239.0,-307.0,604.0,-262.0,418.0
19:30:47.742000,6.0,145.0,37.0,-1173.0,239.0,-307.0,601.0,-250.0,415.0
19:30:47.747000,2.0,154.0,74.0,-1160.0,218.0,-312.0,601.0,-250.0,415.0
19:30:47.751000,21.0,151.0,103.0,-1155.0,188.0,-324.0,601.0,-250.0,415.0
19:30:47.757000,35.0,149.0,109.0,-1161.0,167.0,-334.0,595.0,-256.0,420.0
19:30:47.761000,44.0,140.0,100.0,-1161.0,164.0,-335.0,595.0,-256.0,420.0
19:30:47.766000,52.0,130.0,97.0,-1139.0,162.0,-337.0,604.0,-255.0,427.0
19:30:47.771000,48.0,119.0,91.0,-1109.0,171.0,-340.0,604.0,-255.0,427.0
19:30:47.775000,48.0,119.0,91.0,-1101.0,197.0,-343.0,604.0,-255.0,427.0
