hh:mm:ss.ms,gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],magX[mG],magY[mG],magZ[mG]
19:32:44.376000,29.0,129.0,43.0,-1320.0,374.0,-312.0,0.0,0.0,0.0
19:32:44.380000,10.0,112.0,-5.0,-1135.0,414.0,-300.0,0.0,0.0,0.0
19:32:44.385000,-3.0,100.0,-24.0,-1135.0,414.0,-300.0,0.0,0.0,0.0
19:32:44.390000,-3.0,100.0,-24.0,-1082.0,442.0,-279.0,0.0,0.0,0.0
19:32:44.394000,2.0,86.0,7.0,-1082.0,442.0,-279.0,0.0,0.0,0.0
19:32:44.399000,56.0,59.0,84.0,-964.0,383.0,-270.0,0.0,0.0,0.0
19:32:44.404000,108.0,37.0,114.0,-964.0,383.0,-270.0,0.0,0.0,0.0
19:32:44.409000,119.0,25.0,95.0,-937.0,334.0,-267.0,0.0,0.0,0.0
19:32:44.413000,136.0,-4.0,28.0,-937.0,334.0,-267.0,0.0,0.0,0.0
19:32:44.417000,123.0,-28.0,-126.0,-989.0,380.0,-261.0,0.0,0.0,0.0
19:32:44.423000,128.0,-54.0,-216.0,-989.0,380.0,-261.0,0.0,0.0,0.0
19:32:44.427000,131.0,-84.0,-162.0,-895.0,480.0,-264.0,0.0,0.0,0.0
19:32:44.432000,118.0,-100.0,-113.0,-895.0,480.0,-264.0,0.0,0.0,0.0
19:32:44.437000,98.0,-107.0,-147.0,-879.0,602.0,-262.0,0.0,0.0,0.0
19:32:44.441000,75.0,-109.0,-214.0,-879.0,602.0,-262.0,0.0,0.0,0.0
19:32:44.446000,46.0,-116.0,-221.0,-932.0,621.0,-252.0,0.0,0.0,0.0
19:32:44.451000,27.0,-123.0,-169.0,-932.0,621.0,-252.0,0.0,0.0,0.0
19:32:44.456000,19.0,-128.0,-126.0,-932.0,621.0,-252.0,0.0,0.0,0.0
19:32:44.460000,9.0,-127.0,-132.0,-861.0,561.0,-244.0,0.0,0.0,0.0
19:32:44.465000,-7.0,-127.0,-188.0,-861.0,561.0,-244.0,0.0,0.0,0.0
19:32:44.470000,-19.0,-136.0,-219.0,-742.0,575.0,-245.0,0.0,0.0,0.0
19:32:44.474000,-28.0,-149.0,-224.0,-742.0,575.0,-245.0,0.0,0.0,0.0
19:32:44.479000,-21.0,-158.0,-235.0,-638.0,612.0,-252.0,0.0,0.0,0.0
19:32:44.484000,-21.0,-171.0,-226.0,-638.0,612.0,-252.0,0.0,0.0,0.0
19:32:44.488000,-18.0,-182.0,-217.0,-590.0,620.0,-262.0,0.0,0.0,0.0
19:32:44.493000,-4.0,-191.0,-234.0,-590.0,620.0,-262.0,0.0,0.0,0.0
19:32:44.498000,-4.0,-191.0,-234.0,-593.0,653.0,-265.0,0.0,0.0,0.0
19:32:44.503000,5.0,-199.0,-243.0,-593.0,653.0,-265.0,0.0,0.0,0.0
19:32:44.507000,19.0,-204.0,-213.0,-575.0,656.0,-252.0,0.0,0.0,0.0
19:32:44.512000,35.0,-203.0,-166.0,-575.0,656.0,-252.0,0.0,0.0,0.0
19:32:44.517000,49.0,-205.0,-112.0,-557.0,605.0,-221.0,0.0,0.0,0.0
19:32:44.521000,65.0,-208.0,-46.0,-557.0,605.0,-221.0,0.0,0.0,0.0
19:32:44.526000,81.0,-210.0,2.0,-533.0,547.0,-181.0,0.0,0.0,0.0
19:32:44.531000,100.0,-212.0,52.0,-533.0,547.0,-181.0,0.0,0.0,0.0
19:32:44.535000,112.0,-220.0,99.0,-483.0,513.0,-154.0,0.0,0.0,0.0
19:32:44.540000,119.0,-231.0,112.0,-483.0,513.0,-154.0,0.0,0.0,0.0
19:32:44.545000,115.0,-241.0,100.0,-446.0,557.0,-146.0,0.0,0.0,0.0
19:32:44.550000,96.0,-256.0,55.0,-446.0,557.0,-146.0,0.0,0.0,0.0
19:32:44.554000,67.0,-266.0,47.0,-410.0,636.0,-142.0,0.0,0.0,0.0
19:32:44.559000,35.0,-275.0,68.0,-410.0,636.0,-142.0,0.0,0.0,0.0
19:32:44.564000,0.0,-283.0,62.0,-410.0,636.0,-142.0,0.0,0.0,0.0
19:32:44.568000,-46.0,-282.0,56.0,-389.0,694.0,-136.0,0.0,0.0,0.0
19:32:44.573000,-108.0,-271.0,49.0,-389.0,694.0,-136.0,0.0,0.0,0.0
19:32:44.578000,-168.0,-252.0,57.0,-412.0,746.0,-130.0,0.0,0.0,0.0
