hh:mm:ss.ms,gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],magX[mG],magY[mG],magZ[mG]
19:35:13.252000,-417.0,124.0,452.0,264.0,784.0,-107.0,39.0,-186.0,462.0
19:35:13.256000,-417.0,124.0,452.0,265.0,804.0,-122.0,39.0,-186.0,462.0
19:35:13.261000,-460.0,129.0,424.0,263.0,818.0,-146.0,39.0,-186.0,462.0
19:35:13.266000,-508.0,140.0,403.0,249.0,817.0,-161.0,42.0,-181.0,469.0
19:35:13.271000,-546.0,146.0,364.0,242.0,797.0,-176.0,42.0,-181.0,469.0
19:35:13.275000,-564.0,151.0,305.0,263.0,751.0,-200.0,34.0,-190.0,474.0
19:35:13.280000,-561.0,151.0,256.0,296.0,707.0,-225.0,34.0,-190.0,474.0
19:35:13.284000,-544.0,148.0,205.0,320.0,688.0,-245.0,34.0,-190.0,474.0
19:35:13.289000,-523.0,142.0,139.0,340.0,684.0,-260.0,43.0,-192.0,468.0
19:35:13.294000,-483.0,128.0,58.0,363.0,689.0,-277.0,43.0,-192.0,468.0
19:35:13.299000,-429.0,111.0,-31.0,384.0,701.0,-281.0,39.0,-196.0,469.0
19:35:13.303000,-385.0,85.0,-133.0,410.0,710.0,-277.0,39.0,-196.0,469.0
19:35:13.308000,-333.0,54.0,-224.0,436.0,718.0,-274.0,39.0,-196.0,469.0
19:35:13.313000,-278.0,20.0,-288.0,456.0,722.0,-265.0,40.0,-196.0,474.0
19:35:13.318000,-226.0,-11.0,-337.0,473.0,723.0,-255.0,40.0,-196.0,474.0
19:35:13.322000,-177.0,-44.0,-383.0,491.0,737.0,-248.0,37.0,-190.0,474.0
19:35:13.327000,-123.0,-76.0,-426.0,491.0,737.0,-248.0,37.0,-190.0,474.0
19:35:13.331000,-79.0,-105.0,-459.0,513.0,759.0,-240.0,37.0,-190.0,474.0
19:35:13.336000,-51.0,-133.0,-471.0,533.0,776.0,-228.0,36.0,-198.0,474.0
19:35:13.341000,-33.0,-158.0,-459.0,559.0,782.0,-213.0,36.0,-198.0,474.0
19:35:13.346000,-25.0,-179.0,-431.0,590.0,781.0,-205.0,27.0,-195.0,478.0
19:35:13.350000,-19.0,-191.0,-386.0,622.0,784.0,-204.0,27.0,-195.0,478.0
19:35:13.355000,-19.0,-191.0,-386.0,636.0,805.0,-208.0,27.0,-195.0,478.0
19:35:13.360000,-34.0,-214.0,-288.0,623.0,862.0,-212.0,37.0,-210.0,471.0
19:35:13.365000,-58.0,-226.0,-249.0,595.0,921.0,-210.0,37.0,-210.0,471.0
19:35:13.369000,-58.0,-226.0,-249.0,563.0,941.0,-212.0,31.0,-202.0,480.0
19:35:13.374000,-84.0,-226.0,-207.0,542.0,943.0,-226.0,31.0,-202.0,480.0
19:35:13.378000,-99.0,-226.0,-154.0,527.0,944.0,-238.0,31.0,-202.0,480.0
19:35:13.383000,-119.0,-220.0,-109.0,526.0,963.0,-248.0,24.0,-198.0,475.0
19:35:13.388000,-135.0,-214.0,-77.0,532.0,975.0,-255.0,24.0,-198.0,475.0
19:35:13.393000,-153.0,-208.0,-48.0,537.0,974.0,-259.0,28.0,-211.0,483.0
19:35:13.397000,-177.0,-196.0,-11.0,531.0,1008.0,-264.0,28.0,-211.0,483.0
19:35:13.402000,-196.0,-187.0,21.0,514.0,1061.0,-287.0,28.0,-211.0,483.0
19:35:13.407000,-213.0,-174.0,37.0,498.0,1096.0,-298.0,40.0,-217.0,480.0
