hh:mm:ss.ms,gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],magX[mG],magY[mG],magZ[mG]
19:34:58.457000,27.0,-71.0,767.0,543.0,569.0,-342.0,90.0,-12.0,162.0
19:34:58.461000,74.0,-61.0,724.0,596.0,599.0,-355.0,90.0,-12.0,162.0
19:34:58.466000,133.0,-47.0,523.0,653.0,668.0,-365.0,114.0,-6.0,160.0
19:34:58.471000,178.0,-41.0,374.0,718.0,718.0,-359.0,114.0,-6.0,160.0
19:34:58.476000,189.0,-46.0,323.0,772.0,706.0,-334.0,114.0,-9.0,150.0
19:34:58.481000,189.0,-46.0,323.0,743.0,726.0,-312.0,114.0,-9.0,150.0
19:34:58.485000,190.0,-53.0,235.0,676.0,769.0,-303.0,114.0,-9.0,150.0
19:34:58.490000,189.0,-55.0,162.0,611.0,707.0,-304.0,121.0,-6.0,165.0
19:34:58.495000,210.0,-54.0,210.0,509.0,569.0,-314.0,121.0,-6.0,165.0
19:34:58.499000,236.0,-46.0,318.0,400.0,506.0,-317.0,115.0,-10.0,147.0
19:34:58.503000,259.0,-37.0,381.0,306.0,572.0,-312.0,115.0,-10.0,147.0
19:34:58.508000,270.0,-27.0,338.0,258.0,703.0,-302.0,115.0,-10.0,147.0
19:34:58.513000,255.0,-17.0,302.0,286.0,789.0,-284.0,124.0,-10.0,163.0
19:34:58.518000,212.0,-11.0,357.0,314.0,826.0,-272.0,124.0,-10.0,163.0
19:34:58.523000,178.0,-6.0,417.0,304.0,836.0,-263.0,129.0,-7.0,154.0
19:34:58.528000,138.0,-7.0,435.0,308.0,809.0,-255.0,129.0,-7.0,154.0
19:34:58.532000,116.0,-9.0,444.0,356.0,751.0,-252.0,129.0,-7.0,154.0
19:34:58.537000,95.0,-4.0,472.0,394.0,724.0,-242.0,124.0,-1.0,157.0
19:34:58.542000,79.0,-6.0,434.0,394.0,791.0,-230.0,124.0,-1.0,157.0
19:34:58.546000,63.0,-8.0,305.0,385.0,791.0,-230.0,135.0,0.0,151.0
19:34:58.551000,49.0,-9.0,252.0,387.0,816.0,-228.0,135.0,0.0,151.0
19:34:58.555000,44.0,-8.0,287.0,394.0,763.0,-235.0,135.0,0.0,151.0
19:34:58.560000,34.0,-1.0,364.0,394.0,763.0,-235.0,132.0,-1.0,150.0
19:34:58.565000,2.0,-4.0,385.0,335.0,795.0,-244.0,132.0,-1.0,150.0
19:34:58.570000,-29.0,2.0,340.0,241.0,892.0,-248.0,135.0,1.0,156.0
19:34:58.575000,-41.0,2.0,315.0,194.0,915.0,-263.0,135.0,1.0,156.0
19:34:58.579000,-41.0,2.0,315.0,202.0,877.0,-285.0,135.0,1.0,156.0
19:34:58.583000,-71.0,5.0,305.0,204.0,898.0,-291.0,130.0,1.0,151.0
19:34:58.589000,-193.0,2.0,379.0,194.0,950.0,-293.0,130.0,1.0,151.0
19:34:58.593000,-193.0,2.0,379.0,168.0,1015.0,-299.0,141.0,6.0,154.0
19:34:58.598000,-254.0,-9.0,413.0,145.0,1064.0,-302.0,141.0,6.0,154.0
19:34:58.605000,-350.0,-30.0,347.0,178.0,1025.0,-306.0,135.0,1.0,174.0
19:34:58.607000,-350.0,-30.0,347.0,178.0,1025.0,-306.0,135.0,1.0,174.0
19:34:58.612000,-382.0,-39.0,328.0,232.0,914.0,-315.0,135.0,1.0,174.0
19:34:58.617000,-387.0,-42.0,346.0,282.0,782.0,-330.0,145.0,12.0,156.0
19:34:58.622000,-372.0,-40.0,359.0,308.0,693.0,-340.0,145.0,12.0,156.0
19:34:58.626000,-328.0,-39.0,364.0,314.0,655.0,-351.0,156.0,7.0,154.0
19:34:58.631000,-272.0,-35.0,356.0,303.0,669.0,-360.0,156.0,7.0,154.0
19:34:58.635000,-215.0,-28.0,329.0,285.0,722.0,-366.0,156.0,7.0,154.0
