hh:mm:ss.ms,gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],magX[mG],magY[mG],magZ[mG]
19:36:24.964000,1708.0,2371.0,1080.0,-1040.0,-33.0,-249.0,0.0,0.0,0.0
19:36:24.969000,1667.0,2379.0,1092.0,-1014.0,18.0,-246.0,0.0,0.0,0.0
19:36:24.974000,1617.0,2382.0,1101.0,-1014.0,18.0,-246.0,0.0,0.0,0.0
19:36:24.979000,1556.0,2384.0,1099.0,-975.0,106.0,-258.0,0.0,0.0,0.0
19:36:24.983000,1485.0,2376.0,1090.0,-975.0,106.0,-258.0,0.0,0.0,0.0
19:36:24.988000,1407.0,2361.0,1079.0,-913.0,232.0,-279.0,0.0,0.0,0.0
19:36:24.993000,1323.0,2336.0,1062.0,-913.0,232.0,-279.0,0.0,0.0,0.0
19:36:24.997000,1234.0,2304.0,1058.0,-913.0,232.0,-279.0,0.0,0.0,0.0
19:36:25.002000,1152.0,2261.0,1081.0,-795.0,299.0,-304.0,0.0,0.0,0.0
19:36:25.007000,1085.0,2211.0,1130.0,-795.0,299.0,-304.0,0.0,0.0,0.0
19:36:25.011000,1041.0,2161.0,1180.0,-634.0,229.0,-338.0,0.0,0.0,0.0
19:36:25.016000,1023.0,2113.0,1214.0,-634.0,229.0,-338.0,0.0,0.0,0.0
19:36:25.021000,1030.0,2066.0,1229.0,-509.0,88.0,-406.0,0.0,0.0,0.0
19:36:25.026000,1059.0,2023.0,1229.0,-509.0,88.0,-406.0,0.0,0.0,0.0
19:36:25.030000,1100.0,1988.0,1206.0,-493.0,-28.0,-494.0,0.0,0.0,0.0
19:36:25.035000,1139.0,1956.0,1162.0,-493.0,-28.0,-494.0,0.0,0.0,0.0
19:36:25.040000,1139.0,1956.0,1162.0,-583.0,-73.0,-572.0,0.0,0.0,0.0
19:36:25.044000,1168.0,1922.0,1106.0,-583.0,-73.0,-572.0,0.0,0.0,0.0
19:36:25.048000,1178.0,1887.0,1054.0,-685.0,-41.0,-622.0,0.0,0.0,0.0
19:36:25.054000,1169.0,1852.0,1014.0,-685.0,-41.0,-622.0,0.0,0.0,0.0
19:36:25.058000,1139.0,1810.0,959.0,-681.0,66.0,-639.0,0.0,0.0,0.0
19:36:25.063000,1082.0,1761.0,896.0,-681.0,66.0,-639.0,0.0,0.0,0.0
19:36:25.068000,1002.0,1701.0,837.0,-562.0,218.0,-645.0,0.0,0.0,0.0
19:36:25.073000,905.0,1627.0,787.0,-562.0,218.0,-645.0,0.0,0.0,0.0
19:36:25.077000,798.0,1537.0,756.0,-402.0,303.0,-640.0,0.0,0.0,0.0
19:36:25.082000,701.0,1437.0,744.0,-402.0,303.0,-640.0,0.0,0.0,0.0
19:36:25.087000,623.0,1337.0,749.0,-241.0,241.0,-641.0,0.0,0.0,0.0
19:36:25.091000,569.0,1234.0,768.0,-241.0,241.0,-641.0,0.0,0.0,0.0
19:36:25.096000,541.0,1132.0,772.0,-122.0,106.0,-666.0,0.0,0.0,0.0
19:36:25.101000,532.0,1043.0,751.0,-122.0,106.0,-666.0,0.0,0.0,0.0
19:36:25.105000,532.0,967.0,722.0,-122.0,106.0,-666.0,0.0,0.0,0.0
19:36:25.110000,533.0,897.0,696.0,-100.0,46.0,-705.0,0.0,0.0,0.0
19:36:25.115000,534.0,833.0,670.0,-100.0,46.0,-705.0,0.0,0.0,0.0
19:36:25.120000,536.0,773.0,646.0,-202.0,48.0,-738.0,0.0,0.0,0.0
19:36:25.124000,543.0,725.0,615.0,-202.0,48.0,-738.0,0.0,0.0,0.0
19:36:25.129000,546.0,683.0,581.0,-331.0,35.0,-754.0,0.0,0.0,0.0
19:36:25.134000,538.0,646.0,543.0,-331.0,35.0,-754.0,0.0,0.0,0.0
19:36:25.138000,533.0,610.0,503.0,-358.0,33.0,-760.0,0.0,0.0,0.0
19:36:25.143000,534.0,574.0,483.0,-358.0,33.0,-760.0,0.0,0.0,0.0
19:36:25.148000,537.0,574.0,483.0,-301.0,42.0,-765.0,0.0,0.0,0.0
