hh:mm:ss.ms,gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],magX[mG],magY[mG],magZ[mG]
19:37:01.998000,-2643.0,-2362.0,-962.0,-843.0,-608.0,-576.0,0.0,0.0,0.0
19:37:02.003000,-2552.0,-2419.0,-1061.0,-843.0,-608.0,-576.0,0.0,0.0,0.0
19:37:02.008000,-2479.0,-2447.0,-1208.0,-719.0,-715.0,-434.0,0.0,0.0,0.0
19:37:02.012000,-2478.0,-2331.0,-1236.0,-719.0,-715.0,-434.0,0.0,0.0,0.0
19:37:02.017000,-2368.0,-2307.0,-991.0,-1202.0,-811.0,-300.0,0.0,0.0,0.0
19:37:02.022000,-2249.0,-2318.0,-903.0,-1202.0,-811.0,-300.0,0.0,0.0,0.0
19:37:02.026000,-2114.0,-2279.0,-1165.0,-1235.0,-859.0,-266.0,0.0,0.0,0.0
19:37:02.031000,-2114.0,-2279.0,-1165.0,-1235.0,-859.0,-266.0,0.0,0.0,0.0
19:37:02.036000,-2006.0,-2244.0,-1369.0,-738.0,-954.0,-286.0,0.0,0.0,0.0
19:37:02.040000,-1919.0,-2243.0,-1414.0,-738.0,-954.0,-286.0,0.0,0.0,0.0
19:37:02.045000,-1861.0,-2230.0,-1336.0,-710.0,-935.0,-303.0,0.0,0.0,0.0
19:37:02.050000,-1804.0,-2207.0,-1236.0,-710.0,-935.0,-303.0,0.0,0.0,0.0
19:37:02.055000,-1757.0,-2175.0,-1357.0,-884.0,-789.0,-299.0,0.0,0.0,0.0
19:37:02.059000,-1691.0,-2143.0,-1349.0,-884.0,-789.0,-299.0,0.0,0.0,0.0
19:37:02.064000,-1626.0,-2118.0,-1284.0,-879.0,-772.0,-282.0,0.0,0.0,0.0
19:37:02.069000,-1557.0,-2085.0,-1298.0,-879.0,-772.0,-282.0,0.0,0.0,0.0
19:37:02.073000,-1501.0,-2053.0,-1376.0,-890.0,-707.0,-255.0,0.0,0.0,0.0
19:37:02.078000,-1461.0,-2026.0,-1437.0,-890.0,-707.0,-255.0,0.0,0.0,0.0
19:37:02.083000,-1423.0,-2000.0,-1430.0,-892.0,-575.0,-232.0,0.0,0.0,0.0
19:37:02.087000,-1384.0,-1978.0,-1374.0,-892.0,-575.0,-232.0,0.0,0.0,0.0
19:37:02.092000,-1345.0,-1961.0,-1318.0,-892.0,-575.0,-232.0,0.0,0.0,0.0
19:37:02.097000,-1299.0,-1943.0,-1279.0,-873.0,-533.0,-210.0,0.0,0.0,0.0
19:37:02.102000,-1253.0,-1916.0,-1241.0,-893.0,-515.0,-192.0,0.0,0.0,0.0
19:37:02.106000,-1218.0,-1882.0,-1186.0,-893.0,-515.0,-192.0,0.0,0.0,0.0
19:37:02.111000,-1190.0,-1842.0,-1120.0,-893.0,-515.0,-192.0,0.0,0.0,0.0
19:37:02.116000,-1166.0,-1797.0,-1061.0,-907.0,-472.0,-179.0,0.0,0.0,0.0
19:37:02.120000,-1142.0,-1755.0,-1004.0,-907.0,-472.0,-179.0,0.0,0.0,0.0
19:37:02.125000,-1112.0,-1719.0,-950.0,-925.0,-427.0,-165.0,0.0,0.0,0.0
19:37:02.130000,-1071.0,-1684.0,-910.0,-925.0,-427.0,-165.0,0.0,0.0,0.0
19:37:02.134000,-1024.0,-1649.0,-886.0,-966.0,-443.0,-157.0,0.0,0.0,0.0
19:37:02.139000,-1024.0,-1649.0,-886.0,-966.0,-443.0,-157.0,0.0,0.0,0.0
19:37:02.144000,-975.0,-1610.0,-851.0,-1016.0,-490.0,-147.0,0.0,0.0,0.0
19:37:02.149000,-927.0,-1565.0,-802.0,-1016.0,-490.0,-147.0,0.0,0.0,0.0
19:37:02.153000,-890.0,-1522.0,-760.0,-1045.0,-441.0,-123.0,0.0,0.0,0.0
19:37:02.158000,-859.0,-1474.0,-743.0,-1045.0,-441.0,-123.0,0.0,0.0,0.0
19:37:02.163000,-831.0,-1439.0,-728.0,-1023.0,-318.0,-93.0,0.0,0.0,0.0
19:37:02.167000,-800.0,-1412.0,-700.0,-1023.0,-318.0,-93.0,0.0,0.0,0.0
19:37:02.172000,-767.0,-1393.0,-653.0,-1010.0,-285.0,-81.0,0.0,0.0,0.0
19:37:02.177000,-648.0,-1330.0,-616.0,-1010.0,-285.0,-81.0,0.0,0.0,0.0
19:37:02.181000,-699.0,-1321.0,-583.0,-1041.0,-279.0,-30.0,0.0,0.0,0.0
19:37:02.186000,-684.0,-1293.0,-531.0,-1041.0,-279.0,-30.0,0.0,0.0,0.0
19:37:02.191000,-651.0,-1264.0,-491.0,-1059.0,-258.0,13.0,0.0,0.0,0.0
19:37:02.196000,-616.0,-1234.0,-460.0,-1059.0,-258.0,13.0,0.0,0.0,0.0
19:37:02.200000,-602.0,-1204.0,-444.0,-1059.0,-258.0,13.0,0.0,0.0,0.0
19:37:02.205000,-557.0,-1183.0,-448.0,-1046.0,-227.0,17.0,0.0,0.0,0.0
19:37:02.210000,-555.0,-1157.0,-424.0,-1017.0,-153.0,49.0,0.0,0.0,0.0
19:37:02.214000,-555.0,-1130.0,-422.0,-1017.0,-153.0,49.0,0.0,0.0,0.0
19:37:02.219000,-555.0,-1111.0,-400.0,-1017.0,-153.0,49.0,0.0,0.0,0.0
19:37:02.224000,-550.0,-1082.0,-325.0,-1046.0,-95.0,87.0,0.0,0.0,0.0
19:37:02.228000,-606.0,-1043.0,-288.0,-1046.0,-95.0,87.0,0.0,0.0,0.0
19:37:02.233000,-625.0,-989.0,-307.0,-1116.0,-157.0,126.0,0.0,0.0,0.0
19:37:02.238000,-611.0,-938.0,-467.0,-1116.0,-157.0,126.0,0.0,0.0,0.0
19:37:02.243000,-606.0,-897.0,-591.0,-1136.0,-242.0,131.0,0.0,0.0,0.0
19:37:02.247000,-606.0,-897.0,-591.0,-1136.0,-242.0,131.0,0.0,0.0,0.0
19:37:02.252000,-601.0,-861.0,-564.0,-1080.0,-194.0,127.0,0.0,0.0,0.0
19:37:02.257000,-618.0,-825.0,-451.0,-1080.0,-194.0,127.0,0.0,0.0,0.0
19:37:02.261000,-639.0,-778.0,-380.0,-1088.0,-160.0,137.0,0.0,0.0,0.0
19:37:02.266000,-641.0,-728.0,-450.0,-1088.0,-160.0,137.0,0.0,0.0,0.0
19:37:02.271000,-637.0,-679.0,-585.0,-1162.0,-144.0,135.0,0.0,0.0,0.0
19:37:02.275000,-647.0,-641.0,-632.0,-1162.0,-144.0,135.0,0.0,0.0,0.0
19:37:02.280000,-687.0,-612.0,-619.0,-1124.0,-91.0,145.0,0.0,0.0,0.0
19:37:02.285000,-730.0,-588.0,-585.0,-1124.0,-91.0,145.0,0.0,0.0,0.0
19:37:02.290000,-772.0,-578.0,-557.0,-1040.0,-46.0,164.0,0.0,0.0,0.0
19:37:02.294000,-821.0,-558.0,-589.0,-1040.0,-46.0,164.0,0.0,0.0,0.0
19:37:02.299000,-857.0,-537.0,-639.0,-1026.0,-38.0,175.0,0.0,0.0,0.0
19:37:02.304000,-908.0,-534.0,-627.0,-1026.0,-38.0,175.0,0.0,0.0,0.0
19:37:02.308000,-958.0,-536.0,-595.0,-1026.0,-5.0,175.0,0.0,0.0,0.0
