hh:mm:ss.ms,gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],magX[mG],magY[mG],magZ[mG]
19:39:16.181000,-305.0,-518.0,2298.0,-375.0,-399.0,166.0,526.0,-597.0,274.0
19:39:16.186000,-310.0,-543.0,2384.0,-329.0,-430.0,183.0,526.0,-597.0,274.0
19:39:16.190000,-313.0,-565.0,2485.0,-313.0,-464.0,200.0,526.0,-597.0,274.0
19:39:16.195000,-312.0,-583.0,2589.0,-305.0,-503.0,212.0,511.0,-619.0,262.0
19:39:16.200000,-311.0,-603.0,2687.0,-282.0,-530.0,227.0,511.0,-619.0,262.0
19:39:16.205000,-308.0,-620.0,2769.0,-241.0,-554.0,240.0,498.0,-633.0,258.0
19:39:16.209000,-296.0,-627.0,2846.0,-192.0,-583.0,253.0,498.0,-633.0,258.0
19:39:16.213000,-284.0,-630.0,2916.0,-149.0,-604.0,269.0,498.0,-633.0,258.0
19:39:16.219000,-271.0,-631.0,2977.0,-107.0,-627.0,284.0,480.0,-646.0,249.0
19:39:16.223000,-258.0,-631.0,3047.0,-63.0,-662.0,301.0,480.0,-646.0,249.0
19:39:16.228000,-248.0,-630.0,3129.0,-63.0,-662.0,301.0,462.0,-661.0,255.0
19:39:16.233000,-242.0,-621.0,3217.0,-35.0,-696.0,312.0,462.0,-661.0,255.0
19:39:16.237000,-233.0,-618.0,3278.0,-24.0,-713.0,317.0,462.0,-661.0,255.0
19:39:16.242000,-233.0,-613.0,3306.0,-13.0,-711.0,323.0,454.0,-667.0,246.0
19:39:16.247000,-239.0,-609.0,3330.0,16.0,-705.0,328.0,454.0,-667.0,246.0
19:39:16.252000,-242.0,-606.0,3363.0,75.0,-715.0,327.0,427.0,-685.0,249.0
19:39:16.256000,-252.0,-602.0,3387.0,132.0,-720.0,324.0,427.0,-685.0,249.0
19:39:16.260000,-252.0,-602.0,3387.0,172.0,-702.0,322.0,427.0,-685.0,249.0
19:39:16.266000,-289.0,-612.0,3394.0,203.0,-679.0,321.0,381.0,-706.0,250.0
19:39:16.270000,-308.0,-620.0,3385.0,231.0,-654.0,316.0,381.0,-706.0,250.0
19:39:16.275000,-308.0,-620.0,3385.0,262.0,-634.0,304.0,370.0,-706.0,237.0
19:39:16.280000,-331.0,-620.0,3381.0,275.0,-640.0,295.0,370.0,-706.0,237.0
19:39:16.284000,-357.0,-630.0,3389.0,270.0,-666.0,290.0,370.0,-706.0,237.0
19:39:16.289000,-375.0,-643.0,3411.0,270.0,-701.0,284.0,354.0,-708.0,231.0
19:39:16.294000,-390.0,-653.0,3448.0,258.0,-728.0,283.0,354.0,-708.0,231.0
19:39:16.299000,-411.0,-664.0,3489.0,236.0,-727.0,285.0,331.0,-720.0,223.0
19:39:16.303000,-431.0,-676.0,3525.0,221.0,-715.0,281.0,331.0,-720.0,223.0
19:39:16.311000,-460.0,-709.0,3562.0,208.0,-676.0,280.0,307.0,-717.0,223.0
19:39:16.313000,-460.0,-709.0,3562.0,208.0,-676.0,280.0,307.0,-717.0,223.0
19:39:16.317000,-479.0,-718.0,3570.0,200.0,-675.0,280.0,307.0,-717.0,223.0
19:39:16.322000,-499.0,-718.0,3589.0,188.0,-685.0,276.0,292.0,-720.0,219.0
19:39:16.327000,-512.0,-714.0,3606.0,164.0,-696.0,263.0,292.0,-720.0,219.0
19:39:16.332000,-520.0,-702.0,3602.0,164.0,-696.0,263.0,268.0,-721.0,210.0
19:39:16.336000,-522.0,-690.0,3576.0,119.0,-723.0,247.0,268.0,-721.0,210.0
19:39:16.340000,-514.0,-671.0,3543.0,70.0,-741.0,230.0,268.0,-721.0,210.0
19:39:16.345000,-493.0,-655.0,3516.0,31.0,-771.0,221.0,231.0,-720.0,213.0
19:39:16.350000,-470.0,-639.0,3496.0,3.0,-820.0,214.0,231.0,-720.0,213.0
19:39:16.355000,-450.0,-625.0,3464.0,-15.0,-839.0,211.0,201.0,-721.0,211.0
19:39:16.360000,-424.0,-608.0,3402.0,-22.0,-843.0,213.0,201.0,-721.0,211.0
19:39:16.364000,-396.0,-590.0,3300.0,0.0,-818.0,209.0,201.0,-721.0,211.0
19:39:16.369000,-368.0,-579.0,3180.0,48.0,-794.0,217.0,187.0,-721.0,214.0
19:39:16.374000,-346.0,-574.0,3075.0,123.0,-782.0,230.0,187.0,-721.0,214.0
19:39:16.379000,-340.0,-571.0,2980.0,204.0,-742.0,248.0,186.0,-714.0,205.0
19:39:16.383000,-340.0,-571.0,2980.0,259.0,-669.0,262.0,186.0,-714.0,205.0
19:39:16.387000,-349.0,-553.0,2876.0,272.0,-571.0,265.0,186.0,-714.0,205.0
19:39:16.393000,-366.0,-540.0,2762.0,254.0,-474.0,270.0,166.0,-700.0,202.0
19:39:16.397000,-388.0,-534.0,2662.0,243.0,-438.0,275.0,166.0,-700.0,202.0
19:39:16.402000,-413.0,-533.0,2606.0,261.0,-466.0,277.0,135.0,-696.0,214.0
19:39:16.407000,-429.0,-533.0,2601.0,305.0,-493.0,281.0,135.0,-696.0,214.0
19:39:16.411000,-438.0,-536.0,2628.0,364.0,-523.0,292.0,135.0,-696.0,214.0
