hh:mm:ss.ms,gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],magX[mG],magY[mG],magZ[mG]
19:43:39.173000,-193.0,-45.0,-287.0,-1103.0,-654.0,-69.0,0.0,0.0,0.0
19:43:39.177000,-178.0,-17.0,-320.0,-1178.0,-472.0,-90.0,0.0,0.0,0.0
19:43:39.182000,-165.0,11.0,-331.0,-1178.0,-472.0,-90.0,0.0,0.0,0.0
19:43:39.187000,-163.0,33.0,-341.0,-1182.0,-343.0,-97.0,0.0,0.0,0.0
19:43:39.191000,-179.0,63.0,-380.0,-1182.0,-343.0,-97.0,0.0,0.0,0.0
19:43:39.196000,-179.0,63.0,-380.0,-1178.0,-238.0,-95.0,0.0,0.0,0.0
19:43:39.201000,-211.0,82.0,-441.0,-1178.0,-238.0,-95.0,0.0,0.0,0.0
19:43:39.206000,-228.0,104.0,-455.0,-1158.0,-164.0,-82.0,0.0,0.0,0.0
19:43:39.210000,-257.0,103.0,-439.0,-1158.0,-164.0,-82.0,0.0,0.0,0.0
19:43:39.215000,-278.0,102.0,-437.0,-1110.0,-152.0,-75.0,0.0,0.0,0.0
19:43:39.220000,-313.0,103.0,-474.0,-1110.0,-152.0,-75.0,0.0,0.0,0.0
19:43:39.224000,-345.0,110.0,-529.0,-1093.0,-123.0,-73.0,0.0,0.0,0.0
19:43:39.229000,-368.0,109.0,-568.0,-1093.0,-123.0,-73.0,0.0,0.0,0.0
19:43:39.234000,-394.0,107.0,-584.0,-1064.0,-75.0,-75.0,0.0,0.0,0.0
19:43:39.238000,-438.0,106.0,-599.0,-1064.0,-75.0,-75.0,0.0,0.0,0.0
19:43:39.243000,-469.0,102.0,-634.0,-1076.0,-31.0,-80.0,0.0,0.0,0.0
19:43:39.248000,-500.0,90.0,-665.0,-1076.0,-31.0,-80.0,0.0,0.0,0.0
19:43:39.253000,-536.0,77.0,-681.0,-1105.0,-4.0,-81.0,0.0,0.0,0.0
19:43:39.257000,-578.0,57.0,-686.0,-1105.0,-4.0,-81.0,0.0,0.0,0.0
