hh:mm:ss.ms,gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],magX[mG],magY[mG],magZ[mG]
19:45:57.838000,363.0,-139.0,-442.0,-1691.0,-113.0,-287.0,0.0,0.0,0.0
19:45:57.842000,390.0,-136.0,-451.0,-1691.0,-113.0,-287.0,0.0,0.0,0.0
19:45:57.847000,326.0,-146.0,-402.0,-1634.0,-91.0,-276.0,0.0,0.0,0.0
19:45:57.852000,338.0,-133.0,-492.0,-1634.0,-91.0,-276.0,0.0,0.0,0.0
19:45:57.856000,356.0,-73.0,-466.0,-1594.0,-48.0,-284.0,0.0,0.0,0.0
19:45:57.861000,448.0,-71.0,-335.0,-1594.0,-48.0,-284.0,0.0,0.0,0.0
19:45:57.866000,413.0,-8.0,-338.0,-1628.0,-139.0,-288.0,0.0,0.0,0.0
19:45:57.870000,499.0,-21.0,-390.0,-1628.0,-139.0,-288.0,0.0,0.0,0.0
19:45:57.875000,548.0,-7.0,-303.0,-1555.0,-186.0,-251.0,0.0,0.0,0.0
19:45:57.880000,466.0,-3.0,-206.0,-1555.0,-186.0,-251.0,0.0,0.0,0.0
19:45:57.885000,452.0,34.0,-149.0,-1555.0,-186.0,-251.0,0.0,0.0,0.0
19:45:57.889000,412.0,10.0,-62.0,-1242.0,-197.0,-237.0,0.0,0.0,0.0
19:45:57.894000,394.0,55.0,282.0,-1242.0,-197.0,-237.0,0.0,0.0,0.0
19:45:57.899000,308.0,65.0,401.0,-899.0,-418.0,-260.0,0.0,0.0,0.0
19:45:57.903000,310.0,45.0,461.0,-899.0,-418.0,-260.0,0.0,0.0,0.0
19:45:57.908000,255.0,9.0,571.0,-641.0,-753.0,-264.0,0.0,0.0,0.0
19:45:57.913000,329.0,-18.0,619.0,-641.0,-753.0,-264.0,0.0,0.0,0.0
19:45:57.917000,253.0,-14.0,830.0,-489.0,-967.0,-264.0,0.0,0.0,0.0
19:45:57.922000,210.0,45.0,870.0,-489.0,-967.0,-264.0,0.0,0.0,0.0
