hh:mm:ss.ms,gyroX[mdps],gyroY[mdps],gyroZ[mdps],accX[mg],accY[mg],accZ[mg],magX[mG],magY[mG],magZ[mG]
19:52:49.531000,-33.0,-182.0,175.0,-1459.0,700.0,377.0,714.0,-528.0,357.0
19:52:49.535000,-67.0,-128.0,269.0,-1562.0,684.0,369.0,714.0,-528.0,357.0
19:52:49.540000,-81.0,-57.0,333.0,-1653.0,621.0,349.0,717.0,-523.0,358.0
19:52:49.545000,-68.0,18.0,359.0,-1685.0,520.0,325.0,717.0,-523.0,358.0
19:52:49.549000,-23.0,82.0,369.0,-1630.0,392.0,300.0,717.0,-523.0,358.0
19:52:49.554000,37.0,132.0,371.0,-1514.0,274.0,273.0,711.0,-520.0,357.0
19:52:49.559000,91.0,165.0,345.0,-1376.0,201.0,246.0,711.0,-520.0,357.0
19:52:49.564000,129.0,176.0,295.0,-1239.0,173.0,221.0,697.0,-526.0,381.0
19:52:49.568000,129.0,176.0,295.0,-1114.0,163.0,197.0,697.0,-526.0,381.0
19:52:49.572000,147.0,171.0,244.0,-1012.0,152.0,167.0,697.0,-526.0,381.0
19:52:49.578000,154.0,155.0,205.0,-948.0,143.0,130.0,708.0,-528.0,354.0
19:52:49.582000,158.0,130.0,174.0,-923.0,143.0,87.0,708.0,-528.0,354.0
19:52:49.587000,158.0,102.0,156.0,-932.0,147.0,41.0,708.0,-516.0,369.0
19:52:49.592000,152.0,77.0,158.0,-966.0,156.0,-6.0,708.0,-516.0,369.0
19:52:49.599000,102.0,52.0,191.0,-1006.0,127.0,-87.0,699.0,-526.0,376.0
19:52:49.601000,102.0,52.0,191.0,-1006.0,127.0,-87.0,699.0,-526.0,376.0
19:52:49.605000,58.0,49.0,223.0,-981.0,45.0,-131.0,699.0,-526.0,376.0
19:52:49.611000,6.0,53.0,267.0,-933.0,-68.0,-174.0,705.0,-517.0,366.0
19:52:49.615000,-52.0,67.0,300.0,-852.0,-213.0,-211.0,705.0,-517.0,366.0
19:52:49.620000,-105.0,87.0,311.0,-852.0,-213.0,-211.0,706.0,-522.0,364.0
19:52:49.625000,-140.0,108.0,308.0,-626.0,-596.0,-248.0,706.0,-522.0,364.0
19:52:49.629000,-149.0,125.0,298.0,-626.0,-783.0,-248.0,706.0,-522.0,364.0
19:52:49.634000,-120.0,135.0,282.0,-524.0,-786.0,-247.0,682.0,-522.0,375.0
19:52:49.639000,-68.0,138.0,259.0,-456.0,-914.0,-239.0,682.0,-522.0,375.0
19:52:49.643000,0.0,130.0,228.0,-514.0,-839.0,-195.0,693.0,-526.0,369.0
19:52:49.648000,56.0,116.0,185.0,-514.0,-839.0,-195.0,693.0,-526.0,369.0
19:52:49.652000,86.0,109.0,129.0,-637.0,-681.0,-169.0,693.0,-526.0,369.0
19:52:49.658000,91.0,105.0,77.0,-779.0,-516.0,-153.0,688.0,-516.0,384.0
19:52:49.662000,87.0,109.0,44.0,-906.0,-406.0,-150.0,688.0,-516.0,384.0
19:52:49.667000,86.0,116.0,44.0,-999.0,-358.0,-153.0,688.0,-519.0,381.0
19:52:49.672000,81.0,119.0,69.0,-1051.0,-335.0,-152.0,688.0,-519.0,381.0
19:52:49.676000,81.0,119.0,69.0,-1068.0,-305.0,-146.0,688.0,-519.0,381.0
19:52:49.681000,72.0,116.0,105.0,-1058.0,-269.0,-139.0,684.0,-523.0,376.0
19:52:49.686000,55.0,111.0,158.0,-1038.0,-242.0,-140.0,684.0,-523.0,376.0
19:52:49.690000,35.0,98.0,235.0,-1033.0,-215.0,-152.0,682.0,-523.0,382.0
19:52:49.695000,8.0,86.0,320.0,-1042.0,-188.0,-163.0,682.0,-523.0,382.0
19:52:49.699000,-29.0,74.0,411.0,-1037.0,-179.0,-146.0,682.0,-523.0,382.0
19:52:49.705000,-65.0,51.0,518.0,-990.0,-198.0,-101.0,672.0,-520.0,382.0
19:52:49.709000,-84.0,9.0,620.0,-891.0,-255.0,-49.0,672.0,-520.0,382.0
19:52:49.714000,-77.0,-49.0,712.0,-768.0,-349.0,2.0,678.0,-526.0,387.0
19:52:49.719000,-28.0,-130.0,819.0,-698.0,-403.0,51.0,678.0,-526.0,387.0
19:52:49.723000,42.0,-210.0,924.0,-743.0,-335.0,126.0,678.0,-526.0,387.0
19:52:49.728000,69.0,-270.0,1005.0,-825.0,-223.0,222.0,660.0,-535.0,381.0
19:52:49.733000,37.0,-305.0,1103.0,-831.0,-216.0,274.0,660.0,-535.0,381.0
19:52:49.737000,37.0,-329.0,1257.0,-811.0,-278.0,262.0,673.0,-546.0,399.0
19:52:49.742000,96.0,-345.0,1409.0,-811.0,-278.0,262.0,673.0,-546.0,399.0
19:52:49.746000,152.0,-326.0,1532.0,-885.0,-259.0,242.0,673.0,-546.0,399.0
19:52:49.752000,147.0,-268.0,1675.0,-1042.0,-145.0,269.0,658.0,-549.0,382.0
19:52:49.756000,96.0,-172.0,1885.0,-1174.0,-58.0,324.0,658.0,-549.0,382.0
19:52:49.761000,53.0,-58.0,2146.0,-1189.0,-108.0,357.0,664.0,-564.0,391.0
19:52:49.766000,54.0,41.0,2408.0,-1056.0,-294.0,370.0,664.0,-564.0,391.0
19:52:49.770000,98.0,103.0,2616.0,-816.0,-504.0,382.0,664.0,-564.0,391.0
19:52:49.775000,149.0,115.0,2755.0,-535.0,-618.0,406.0,643.0,-574.0,388.0
19:52:49.780000,190.0,82.0,2838.0,-271.0,-623.0,440.0,643.0,-574.0,388.0
19:52:49.784000,210.0,20.0,2895.0,-61.0,-571.0,466.0,630.0,-589.0,388.0
19:52:49.789000,210.0,20.0,2895.0,70.0,-503.0,473.0,630.0,-589.0,388.0
19:52:49.793000,215.0,-51.0,2933.0,122.0,-438.0,463.0,630.0,-589.0,388.0
19:52:49.799000,216.0,-118.0,2956.0,109.0,-396.0,443.0,616.0,-613.0,390.0
19:52:49.803000,207.0,-172.0,2973.0,65.0,-386.0,422.0,616.0,-613.0,390.0
19:52:49.808000,195.0,-210.0,3003.0,24.0,-408.0,394.0,594.0,-643.0,387.0
19:52:49.813000,179.0,-228.0,3057.0,1.0,-457.0,365.0,594.0,-643.0,387.0
19:52:49.817000,167.0,-226.0,3147.0,7.0,-538.0,340.0,594.0,-643.0,387.0
19:52:49.822000,154.0,-202.0,3279.0,41.0,-644.0,320.0,576.0,-660.0,397.0
19:52:49.826000,142.0,-156.0,3439.0,100.0,-759.0,294.0,576.0,-660.0,397.0
19:52:49.831000,151.0,-95.0,3598.0,174.0,-868.0,249.0,547.0,-678.0,412.0
19:52:49.836000,186.0,-16.0,3729.0,247.0,-960.0,185.0,547.0,-678.0,412.0
19:52:49.840000,233.0,80.0,3833.0,311.0,-1026.0,105.0,547.0,-678.0,412.0
19:52:49.846000,285.0,186.0,3920.0,373.0,-1042.0,23.0,532.0,-690.0,391.0
19:52:49.850000,320.0,291.0,3988.0,373.0,-1042.0,23.0,532.0,-690.0,391.0
19:52:49.855000,317.0,382.0,4027.0,443.0,-998.0,-48.0,504.0,-709.0,394.0
19:52:49.860000,297.0,452.0,4035.0,531.0,-934.0,-111.0,504.0,-709.0,394.0
19:52:49.864000,289.0,496.0,4016.0,620.0,-890.0,-172.0,504.0,-709.0,394.0
19:52:49.869000,317.0,501.0,3957.0,672.0,-833.0,-227.0,454.0,-741.0,423.0
19:52:49.874000,369.0,466.0,3847.0,645.0,-682.0,-269.0,454.0,-741.0,423.0
19:52:49.878000,413.0,409.0,3679.0,510.0,-391.0,-290.0,426.0,-745.0,411.0
19:52:49.883000,409.0,362.0,3461.0,286.0,-25.0,-293.0,426.0,-745.0,411.0
19:52:49.887000,409.0,362.0,3461.0,52.0,260.0,-286.0,426.0,-745.0,411.0
